URN,KS2 Pupils,KS2 Boys,KS2 Girls,Reading Progress,Reading Score,Reading Meet Std,Reading Exceed Std,Reading Progress Band,Reading Progress Desc,Writing Progress,Writing Score,Writing Meet Std,Writing Exceed Std,Writing Progress Band,Writing Progress Desc,Maths Progress,Maths Score,Maths Meet Std,Maths Exceed Std,Maths Progress Band,Maths Progress Desc,Overall Meet Std,Overall Exceed Std,Academic Year
104616,29,14,15,-2.1,105,69%,38%,3,Average,-2.1,105,83%,34%,3,Average,-1.6,104,83%,34%,3,Average,59%,21%,2018
117867,14,6,8,0.3,104,79%,21%,3,Average,-1.4,103,71%,7%,3,Average,-1.7,101,64%,7%,3,Average,57%,0%,2018
137212,59,26,33,-0.7,107,85%,32%,3,Average,0.9,109,95%,46%,3,Average,0,107,90%,34%,3,Average,83%,17%,2018
143909,28,11,17,1.6,103,68%,18%,3,Average,4.2,102,64%,29%,1,Well Above Average,3,103,75%,29%,2,Above Average,68%,7%,2018
140680,55,24,31,-5.9,102,60%,16%,5,Well Below Average,-6.9,102,62%,20%,5,Well Below Average,-5.6,101,56%,9%,5,Well Below Average,40%,0%,2018
142083,42,25,17,-1.3,103,64%,19%,3,Average,-4.1,102,64%,14%,5,Well Below Average,-0.9,103,69%,12%,3,Average,33%,5%,2018
118283,20,9,11,0.8,106,75%,35%,3,Average,-2.2,104,65%,25%,3,Average,-3.2,101,50%,15%,4,Below Average,45%,15%,2018
102215,97,46,51,1.6,105,77%,21%,2,Above Average,2.7,106,78%,34%,1,Well Above Average,2.2,104,73%,30%,2,Above Average,60%,8%,2018
114065,5,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
142855,5,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
143941,81,46,35,-4.4,102,57%,12%,5,Well Below Average,-4.1,101,52%,6%,5,Well Below Average,-5.1,100,52%,10%,5,Well Below Average,40%,2%,2018
111167,30,16,14,-1.7,107,80%,50%,3,Average,-4,111,87%,63%,5,Well Below Average,-1.7,106,77%,40%,3,Average,70%,7%,2018
111054,28,17,11,-0.4,104,68%,18%,3,Average,-1.4,103,64%,7%,3,Average,-0.1,103,61%,14%,3,Average,50%,4%,2018
121540,3,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
113434,18,9,9,2.4,108,83%,67%,3,Average,-0.8,106,83%,44%,3,Average,-2,103,72%,17%,3,Average,67%,11%,2018
138026,23,14,9,-1.8,104,70%,30%,3,Average,-3.2,104,78%,35%,5,Well Below Average,-4.2,101,52%,22%,5,Well Below Average,43%,17%,2018
139445,50,26,24,1.2,103,74%,14%,3,Average,2.6,106,74%,42%,2,Above Average,4.6,106,86%,30%,1,Well Above Average,72%,6%,2018
137191,69,37,32,0.6,108,94%,36%,3,Average,-0.5,109,91%,52%,3,Average,0.6,107,94%,32%,3,Average,86%,19%,2018
119978,59,42,17,-2.1,103,71%,22%,4,Below Average,-0.4,103,73%,22%,3,Average,-2.1,102,68%,22%,4,Below Average,61%,10%,2018
